#otu,P1-1,P1-2,P1-3,P2-1,P2-2,P2-3,P3-1,P3-2,P3-3
739177,1008,705,0,0,1475,3454,2091,0,0
611896,0,1443,1724,2889,0,0,0,0,0
1138441,0,378,0,0,0,1855,0,0,0
2236727,395,416,558,291,470,0,678,602,0
685607,539,668,580,183,485,0,455,0,0
576463,770,666,539,253,0,554,0,0,0
752141,0,558,0,363,225,774,0,0,0
533167,439,829,1133,0,277,268,499,0,0
3251764,531,0,1365,0,0,0,0,0,0
430433,0,600,0,756,0,0,0,0,0
136429,98,0,263,0,240,0,217,502,0
320233,560,1897,831,532,401,1247,838,353,536
688365,0,1232,486,0,0,0,0,0,0
549125,348,1223,629,0,375,178,284,197,0
825187,0,128,394,209,0,0,389,0,0
282043,0,0,0,277,206,0,266,249,0
1132958,0,369,0,471,0,0,342,0,0
552492,337,636,0,0,0,0,0,0,0
831651,0,0,0,0,0,0,0,0,973
1106110,0,964,656,0,0,0,0,0,0
811255,0,940,0,0,644,0,0,0,0
1111051,0,922,0,0,0,0,0,0,0
1941448,0,0,0,0,0,0,0,0,889
371847,0,0,0,0,785,234,411,161,0
562356,0,0,0,0,0,0,783,0,0
181389,0,771,0,0,62,0,0,0,0
656936,643,0,1157,0,0,0,0,0,0
1719557,0,715,0,76,0,0,0,0,0
253290,0,92,362,150,0,0,452,0,153
587834,0,686,650,0,0,0,0,0,0
549321,0,664,0,0,166,0,0,0,56
166005,0,458,656,0,0,0,0,0,0
1102589,0,0,0,0,0,0,0,0,631
254821,0,1045,0,282,0,310,0,0,0
252470,0,288,620,0,0,0,0,186,0
141991,0,0,0,0,174,0,0,89,354
537145,0,884,0,158,0,0,0,0,0
1133172,595,1033,1035,0,0,0,0,0,0
171290,0,0,567,0,0,0,0,0,0
423724,0,0,552,0,0,0,0,0,0
533418,0,0,551,0,0,0,0,0,0
184429,0,1200,0,0,226,291,167,0,0
514619,0,534,0,0,0,0,0,0,0
139193,0,0,520,0,0,0,0,0,0
422049,0,0,0,520,0,0,0,0,0
534160,0,518,0,0,0,0,0,0,0
976397,0,0,0,0,0,0,0,509,0
156625,0,0,0,0,0,0,0,0,751
551566,0,0,487,0,0,0,0,0,0
695106,0,0,486,0,0,0,0,0,0
13146,74,481,0,0,0,0,34,0,0
348411,0,0,0,476,0,0,0,0,0
158400,0,458,0,0,0,0,0,0,0
587390,0,453,0,0,54,0,0,0,122
1111264,0,451,0,0,0,0,0,0,0
568764,0,0,0,0,0,0,0,0,450
165025,206,443,0,0,0,0,0,0,0
1119525,0,0,434,0,0,0,111,0,0
801622,0,0,0,0,0,0,0,0,428
832579,0,0,0,0,0,0,0,0,427
209627,0,0,422,0,174,0,0,0,0
827047,0,415,0,98,250,0,0,0,0
1110503,150,0,290,0,0,264,0,0,0
767109,0,412,0,36,0,0,0,0,0
1701674,0,411,0,0,0,0,0,0,0
344247,204,0,0,0,0,0,405,0,0
437024,0,0,0,0,746,0,0,0,0
1132395,0,0,0,0,0,0,397,0,0
521503,0,392,0,0,0,0,0,0,0
3495416,0,392,0,0,0,0,0,0,0
383277,0,0,383,0,0,0,0,0,0
540478,0,382,0,0,0,0,0,0,0
174936,0,378,0,0,0,0,0,0,0
3200290,0,0,0,378,0,0,0,0,0
542275,0,375,0,0,0,0,0,0,0
332652,0,372,0,0,0,0,0,0,0
614375,0,573,0,0,136,0,0,0,0
137783,0,0,366,0,0,0,0,0,0
3741116,0,0,0,0,0,0,0,0,366
1107581,0,365,0,0,0,0,0,0,0
592197,90,359,0,0,0,0,0,0,0
507004,0,0,347,0,0,0,0,0,0
666112,0,0,0,0,125,0,0,347,0
179318,0,0,0,0,0,0,340,0,0
571294,0,338,103,23,42,0,0,0,0
273372,0,0,0,0,0,334,0,0,0
131959,0,333,0,0,0,0,0,0,0
580056,0,0,0,0,0,328,0,0,0
577685,0,0,51,0,69,327,0,0,0
277684,0,320,0,0,0,0,0,0,0
4292386,0,320,0,0,0,0,0,0,0
206357,0,0,0,0,0,0,0,313,0
535343,0,0,307,0,0,0,0,0,0
161058,0,0,0,0,0,0,301,0,0
591294,0,296,0,0,0,0,137,0,0
1108767,0,294,195,0,0,0,72,0,0
137474,0,94,291,0,83,0,0,0,0
3685324,0,104,281,0,0,0,0,0,0
558595,0,0,0,0,0,0,0,0,280
212998,0,277,0,0,68,0,0,0,0
1110765,0,0,0,0,0,0,0,585,0
248186,0,0,274,0,0,73,0,0,0
510351,0,269,0,0,0,0,0,0,0
3592854,0,0,0,0,0,0,0,268,0
155915,0,267,0,0,0,0,0,0,0
795868,0,0,265,0,217,0,0,0,0
31454,0,260,0,0,0,0,0,0,0
182748,0,0,260,0,0,0,0,0,0
256045,0,0,0,0,0,0,0,0,257
251127,0,255,0,0,0,0,0,0,0
4044941,0,254,192,0,0,0,0,51,0
1144707,0,254,0,0,0,0,0,0,0
137941,0,0,250,0,0,0,0,0,0
824273,0,0,0,0,250,0,0,0,0
564618,0,0,0,0,0,0,0,0,247
575667,0,0,0,0,0,0,0,0,246
1114336,0,0,243,0,0,0,0,0,0
571554,0,0,0,0,0,0,242,0,0
159621,0,0,0,241,0,0,0,0,0
563972,0,0,0,241,0,0,0,0,0
1110171,27,240,0,0,0,0,0,0,0
662377,0,0,0,0,239,0,0,0,0
810690,0,0,0,0,0,0,238,0,0
545008,0,122,0,34,0,0,0,0,237
546198,0,0,0,236,0,0,146,0,0
543722,0,0,234,0,107,0,0,0,0
311119,130,232,0,0,0,0,0,0,0
526723,0,0,93,0,0,0,232,0,0
337205,0,0,230,0,0,0,103,0,0
170252,0,134,0,0,228,0,0,0,0
782951,103,0,226,0,90,58,0,0,0
564115,0,0,0,0,0,0,0,0,226
769393,0,0,0,0,0,0,0,0,224
2289308,0,0,222,0,0,0,0,0,0
1778749,0,0,221,0,0,0,0,0,0
1111247,208,0,0,0,0,142,0,0,0
558754,0,208,0,0,0,0,0,0,0
314185,0,207,0,0,0,0,0,0,0
1121398,0,0,205,0,0,0,0,0,0
193930,0,0,0,0,0,204,0,0,0
657273,0,0,0,0,0,0,204,0,0
789726,0,0,0,0,144,0,204,0,0
444679,0,203,0,0,0,0,0,0,0
975175,198,0,0,0,0,0,0,0,0
304068,0,0,0,0,0,0,197,0,0
816248,0,0,0,0,0,0,0,0,354
1753086,0,0,0,0,0,0,194,164,0
583303,0,192,0,0,0,0,0,0,0
1134854,0,0,0,189,0,0,0,0,0
223216,0,0,188,0,0,0,0,0,0
1108524,0,187,0,0,0,0,0,0,0
515166,0,0,185,0,67,0,108,0,0
26876,0,0,0,0,182,0,0,0,0
167735,0,84,0,0,0,0,0,0,181
3592856,0,0,0,0,0,0,0,180,0
2268584,108,118,0,175,116,0,0,0,0
1097813,0,0,174,0,0,0,0,0,0
4240434,0,0,173,0,0,0,0,0,0
939528,0,0,0,0,0,0,173,0,0
161333,0,0,0,0,0,0,0,0,173
134015,0,0,0,172,145,0,0,0,0
2220978,0,0,141,0,0,0,172,0,0
3220351,0,171,77,0,0,0,0,0,0
155401,0,0,171,0,0,0,0,0,0
746925,0,0,0,0,0,0,170,0,0
894315,0,0,0,0,0,0,0,0,168
547933,0,0,166,0,0,0,0,0,0
1616607,0,164,0,0,0,0,0,0,0
912102,0,164,0,0,0,0,0,0,0
1117326,0,0,164,0,0,0,0,0,0
1107760,0,43,36,0,0,0,0,0,164
1113763,0,0,0,16,88,162,0,0,0
1681818,0,152,160,0,0,0,0,0,0
239262,77,0,85,0,0,0,74,0,0
1116887,0,125,159,0,0,0,0,0,0
1107132,0,0,0,0,159,0,0,0,0
143595,0,158,0,0,0,0,0,69,0
3799437,0,0,0,0,156,0,0,0,0
510341,0,0,88,155,0,0,0,0,0
666180,153,0,0,0,0,0,0,0,0
749336,0,0,153,0,0,0,0,0,0
540668,0,152,0,0,0,0,12,0,0
542998,150,0,0,0,0,0,0,0,0
256904,0,150,0,120,0,129,141,48,0
1106008,0,0,0,0,148,0,0,0,0
1115893,0,0,0,0,0,0,0,0,147
338360,45,146,0,0,0,0,0,0,112
665488,0,146,0,0,0,0,0,0,0
557485,144,92,0,0,0,0,0,0,0
540468,0,0,144,0,0,0,0,0,0
706500,0,143,0,0,0,0,0,0,0
550165,0,0,0,0,0,0,0,0,141
113192,0,0,0,0,0,0,0,0,141
825245,0,0,0,0,0,0,139,0,0
827213,0,137,0,0,0,0,0,0,0
585687,0,0,136,0,124,0,0,0,0
138087,0,0,135,0,0,0,0,0,0
1106903,0,0,0,133,0,0,0,0,0
366542,0,0,0,0,0,0,0,0,133
361994,0,0,0,0,0,0,130,0,0
629073,0,0,0,0,0,0,16,126,0
826227,0,0,0,0,0,0,0,0,126
818655,0,0,124,0,0,0,0,0,0
726077,0,0,124,0,0,0,0,0,0
183133,0,0,0,0,124,0,0,0,0
182626,0,0,0,0,0,0,0,0,124
571690,0,0,0,0,0,123,0,0,0
1118184,0,0,121,0,0,0,0,0,0
570897,0,0,0,121,0,0,0,0,0
347470,0,0,0,121,0,0,0,95,0
218656,0,0,0,121,0,0,0,0,0
431689,0,0,0,0,0,121,0,0,0
547242,120,0,0,0,0,0,0,0,0
333888,120,0,0,0,0,0,0,0,0
578348,0,0,0,117,0,0,0,0,0
164467,0,0,116,0,0,0,0,0,0
191519,0,115,0,0,0,0,0,0,0
764483,100,0,0,0,0,0,0,115,0
1609481,0,0,0,79,114,0,0,0,0
1113479,0,0,0,0,114,0,0,0,0
160134,0,0,102,0,0,88,114,0,0
823071,0,0,0,113,0,0,0,0,0
839103,0,0,0,113,0,0,0,0,35
147965,0,112,0,0,0,0,0,0,0
4134161,0,0,0,0,0,0,112,0,0
134335,0,0,0,111,0,0,0,0,0
325556,0,0,0,0,0,0,0,0,111
553592,0,0,0,0,0,0,0,0,111
558455,0,0,109,0,78,54,0,0,0
114811,0,0,0,109,0,0,0,0,0
630039,0,0,0,107,0,0,0,0,0
169706,0,0,105,0,0,0,0,0,0
4219826,0,0,0,0,0,0,0,105,0
167519,0,103,58,39,55,0,0,0,0
829435,101,0,0,0,0,0,0,0,0
2887956,0,0,0,0,0,0,100,0,0
730394,0,99,0,0,0,0,0,0,0
731384,0,98,0,0,0,0,0,0,0
639286,0,98,0,0,0,0,0,0,0
880304,0,97,0,0,0,0,0,0,0
210232,0,97,0,0,0,0,0,0,0
3314369,0,0,0,95,0,0,0,0,0
1074696,0,94,0,0,0,0,0,0,0
364404,0,0,93,0,0,0,0,0,0
165185,32,70,91,48,68,0,0,0,0
270040,0,0,0,91,0,0,0,0,0
1062089,0,0,0,0,0,0,0,0,88
276408,0,54,33,0,0,0,0,0,0
827888,0,0,0,0,0,0,0,87,0
1108347,0,0,0,0,0,0,86,0,0
312645,0,0,0,0,0,0,0,0,86
1029908,0,0,83,0,0,0,0,0,0
272922,0,0,0,0,82,0,0,0,0
276687,0,0,0,0,0,0,0,0,82
166485,0,81,63,0,46,0,0,0,0
741691,0,81,0,0,0,0,0,0,0
577240,0,79,81,0,0,0,60,0,0
3304901,0,0,0,80,72,0,0,0,0
526696,0,0,79,0,0,0,0,0,0
1105622,0,0,0,0,0,0,0,78,0
512934,0,0,0,0,46,0,77,0,0
328728,0,76,0,0,0,0,0,0,0
547431,0,0,0,0,0,0,0,0,75
1107230,0,59,0,0,0,0,0,0,74
3016490,0,0,73,0,0,0,0,0,0
651830,0,0,0,0,0,0,0,0,71
166372,70,0,0,0,0,0,0,0,0
237767,0,68,0,0,0,0,0,0,0
171914,0,0,0,0,0,0,0,68,0
355875,0,0,67,0,0,0,0,0,0
114639,0,0,0,0,0,0,0,0,67
885942,0,66,0,0,15,0,0,0,0
574540,0,0,0,0,0,0,0,0,66
3010526,0,0,0,0,0,0,65,0,0
333721,0,64,0,0,0,0,0,0,0
1110538,0,0,64,0,0,0,0,0,0
150819,0,0,0,0,0,0,64,0,0
313754,0,0,0,0,0,0,0,0,64
